0	0
0	1
2	1
2	1
4	1
4	1
7	1
7	1
9	1
9	0
12	0
12	1
14	1
14	1
17	1
17	2
19	2
19	2
22	2
22	2
25	2
25	3
27	3
27	3
30	3
30	3
32	3
32	3
35	3
35	3
37	3
37	3
40	3
40	3
42	3
42	4
45	4
45	4
47	4
47	4
50	4
50	4
52	4
52	4
55	4
55	4
57	4
57	4
60	4
60	4
63	4
63	4
65	4
65	5
68	5
68	5
70	5
70	5
73	5
73	5
76	5
76	5
79	5
79	5
82	5
82	5
85	5
85	6
89	6
89	5
93	5
93	6
97	6
97	6
102	6
102	7
107	7
107	7
114	7
114	7
121	7
121	7
129	7
129	8
136	8
136	8
144	8
144	9
151	9
151	10
158	10
158	10
166	10
166	10
173	10
173	10
181	10
181	10
188	10
188	11
195	11
195	12
203	12
203	12
210	12
210	13
218	13
218	13
225	13
225	13
232	13
232	13
240	13
240	13
247	13
247	14
255	14
255	15
262	15
262	16
269	16
269	16
277	16
277	16
284	16
284	17
292	17
292	17
299	17
299	18
306	18
306	18
314	18
314	19
321	19
321	19
329	19
329	19
336	19
336	20
343	20
343	20
351	20
351	21
358	21
358	22
366	22
366	22
373	22
373	22
380	22
380	23
388	23
388	23
395	23
395	24
403	24
403	24
410	24
410	25
417	25
417	25
425	25
425	25
432	25
432	26
440	26
440	26
447	26
447	26
454	26
454	27
462	27
462	28
469	28
469	28
477	28
477	29
484	29
484	29
491	29
491	29
499	29
499	30
506	30
506	30
514	30
514	31
521	31
521	32
528	32
528	33
536	33
536	33
543	33
543	33
551	33
551	33
558	33
558	33
565	33
565	31
573	31
573	27
580	27
580	23
588	23
588	19
595	19
595	19
602	19
602	21
610	21
610	24
617	24
617	28
625	28
625	30
632	30
632	32
639	32
639	35
647	35
647	37
654	37
654	39
662	39
662	40
669	40
669	41
676	41
676	42
684	42
684	43
691	43
691	40
699	40
699	36
706	36
706	38
713	38
713	39
721	39
721	39
728	39
728	40
736	40
736	42
743	42
743	43
750	43
750	44
758	44
758	45
765	45
765	45
773	45
773	45
780	45
780	45
787	45
787	47
795	47
795	48
802	48
802	48
810	48
810	49
817	49
817	49
824	49
824	49
832	49
832	51
839	51
839	52
847	52
847	51
854	51
854	52
861	52
861	54
869	54
869	55
876	55
876	56
884	56
884	57
891	57
891	59
898	59
898	60
906	60
906	60
913	60
913	61
921	61
921	62
928	62
928	63
935	63
935	64
943	64
943	65
950	65
950	66
958	66
958	68
965	68
965	69
972	69
972	70
980	70
980	71
987	71
987	73
995	73
995	74
1002	74
1002	76
1009	76
1009	77
1017	77
1017	79
1024	79
1024	81
1032	81
1032	84
1039	84
1039	86
1047	86
1047	87
1054	87
1054	89
1061	89
1061	90
1069	90
1069	91
1076	91
1076	92
1084	92
1084	93
1091	93
1091	95
1098	95
1098	96
1106	96
1106	98
1113	98
1113	99
1121	99
1121	101
1128	101
1128	104
1135	104
1135	105
1143	105
1143	106
1150	106
1150	107
1158	107
1158	108
1165	108
1165	110
1172	110
1172	112
1180	112
1180	114
1187	114
1187	116
1195	116
1195	117
1202	117
1202	118
1209	118
1209	119
1217	119
1217	119
1224	119
1224	120
1232	120
1232	122
1239	122
1239	127
1246	127
1246	131
1254	131
1254	135
1261	135
1261	139
1269	139
1269	142
1276	142
1276	145
1283	145
1283	149
1291	149
1291	152
1298	152
1298	155
1306	155
1306	158
1313	158
1313	162
1320	162
1320	165
1328	165
1328	168
1335	168
1335	171
1343	171
1343	175
1350	175
1350	178
1357	178
1357	181
1365	181
1365	185
1372	185
1372	188
1380	188
1380	194
1387	194
1387	198
1394	198
1394	201
1402	201
1402	204
1409	204
1409	208
1417	208
1417	211
1424	211
1424	214
1431	214
1431	218
1439	218
1439	221
1446	221
1446	224
1454	224
1454	228
1461	228
1461	231
1468	231
1468	234
1476	234
1476	238
1483	238
1483	241
1491	241
1491	244
1498	244
1498	247
1505	247
1505	250
1513	250
1513	253
1520	253
1520	257
1528	257
1528	260
1535	260
1535	263
1542	263
1542	267
1550	267
1550	270
1557	270
1557	274
1565	274
1565	278
1572	278
1572	282
1579	282
1579	286
1587	286
1587	290
1594	290
1594	294
1602	294
1602	298
1609	298
1609	302
1616	302
1616	305
1624	305
1624	313
1631	313
1631	316
1639	316
1639	320
1646	320
1646	324
1653	324
1653	327
1661	327
1661	331
1668	331
1668	335
1676	335
1676	338
1683	338
